(['DAI55148', 'ELE17451'], 'DAI62779', 0.492)
(['SNA45677', 'SNA80324'], 'FRO40251', 0.492)
(['GRO73461', 'SNA55762'], 'DAI62779', 0.491)
(['DAI75645', 'SNA45677'], 'FRO40251', 0.49)
(['GRO30386', 'GRO73461'], 'DAI62779', 0.489)
(['FRO40251', 'GRO69543'], 'GRO73461', 0.489)
(['FRO40251', 'GRO81087'], 'SNA80324', 0.489)
(['DAI75645', 'SNA80324'], 'FRO40251', 0.487)
(['ELE26917', 'SNA80324'], 'DAI75645', 0.487)
(['FRO40251', 'GRO30386'], 'DAI75645', 0.487)
(['DAI75645', 'GRO85051'], 'SNA80324', 0.486)
(['DAI75645', 'ELE74009'], 'FRO40251', 0.486)
(['DAI75645', 'DAI85309'], 'DAI62779', 0.486)
(['DAI75645', 'DAI85309'], 'FRO40251', 0.486)
(['FRO40251', 'GRO21487'], 'GRO73461', 0.485)
(['ELE17451', 'ELE74009'], 'DAI62779', 0.485)
(['DAI62779', 'SNA18336'], 'ELE17451', 0.482)
(['DAI75645', 'GRO38814'], 'FRO40251', 0.48)
(['DAI43223', 'ELE17451'], 'GRO59710', 0.479)
(['DAI62779', 'DAI75645'], 'SNA80324', 0.477)
(['GRO38814', 'SNA80324'], 'DAI75645', 0.477)
(['DAI62779', 'FRO92469'], 'SNA80324', 0.475)
(['ELE74009', 'SNA80324'], 'DAI75645', 0.473)
(['DAI83733', 'DAI85309'], 'DAI62779', 0.471)
(['DAI62779', 'SNA95666'], 'FRO85978', 0.469)
(['DAI75645', 'ELE26917'], 'SNA80324', 0.468)
(['DAI62779', 'DAI75645'], 'FRO40251', 0.467)
(['ELE17451', 'SNA72163'], 'SNA59903', 0.467)
(['ELE17451', 'SNA99873'], 'DAI62779', 0.467)
(['GRO44993', 'GRO73461'], 'FRO73056', 0.467)
(['ELE17451', 'GRO30386'], 'DAI62779', 0.466)
(['DAI62779', 'GRO85051'], 'ELE17451', 0.466)
(['DAI75645', 'FRO92469'], 'SNA80324', 0.465)
(['FRO85978', 'SNA93860'], 'ELE59028', 0.464)
(['DAI75645', 'ELE26917'], 'FRO40251', 0.46)
(['FRO40251', 'GRO30386'], 'SNA80324', 0.46)
(['DAI75645', 'SNA55762'], 'SNA80324', 0.459)
(['DAI42083', 'DAI92600'], 'ELE17451', 0.457)
(['DAI62779', 'SNA80324'], 'DAI75645', 0.456)
(['ELE78169', 'GRO94758'], 'SNA45677', 0.456)
(['DAI75645', 'GRO30386'], 'FRO40251', 0.456)
(['DAI75645', 'SNA45677'], 'SNA80324', 0.453)
(['DAI62779', 'SNA80324'], 'ELE17451', 0.452)
(['SNA59903', 'SNA72163'], 'DAI88807', 0.452)
(['GRO59710', 'GRO73461'], 'ELE32164', 0.449)
(['SNA53220', 'SNA93860'], 'FRO19221', 0.449)
(['DAI31081', 'ELE17451'], 'DAI62779', 0.448)
(['DAI43223', 'DAI62779'], 'GRO59710', 0.447)
(['DAI85309', 'FRO40251'], 'DAI62779', 0.447)
(['ELE17451', 'SNA18336'], 'DAI85309', 0.446)
(['DAI62779', 'FRO40251'], 'SNA80324', 0.445)
(['DAI75645', 'FRO40251'], 'SNA80324', 0.439)
(['DAI31081', 'FRO40251'], 'DAI75645', 0.436)
(['GRO85051', 'SNA80324'], 'DAI62779', 0.435)
(['DAI62779', 'SNA72163'], 'SNA59903', 0.434)
(['SNA45677', 'SNA80324'], 'DAI75645', 0.434)
(['ELE78169', 'GRO94758'], 'DAI62779', 0.433)
(['GRO30386', 'SNA80324'], 'FRO40251', 0.433)
(['DAI85309', 'GRO71621'], 'DAI62779', 0.43)
(['DAI85309', 'GRO94758'], 'ELE99737', 0.429)
(['SNA45677', 'SNA96271'], 'DAI62779', 0.428)
(['DAI88807', 'SNA59903'], 'SNA72163', 0.427)
(['ELE17451', 'GRO73461'], 'DAI62779', 0.422)
(['ELE26917', 'FRO40251'], 'GRO85051', 0.422)
(['ELE17451', 'FRO40251'], 'DAI75645', 0.419)
(['DAI62779', 'ELE20847'], 'DAI75645', 0.418)
(['FRO40251', 'FRO80039'], 'SNA80324', 0.418)
(['DAI75645', 'GRO38814'], 'SNA80324', 0.418)
(['DAI85309', 'SNA45677'], 'DAI62779', 0.417)
(['FRO40251', 'GRO56726'], 'GRO73461', 0.417)
(['DAI75645', 'GRO38814'], 'GRO73461', 0.414)
(['DAI85309', 'ELE99737'], 'DAI62779', 0.413)
(['GRO73461', 'SNA80324'], 'FRO40251', 0.413)
(['ELE32164', 'FRO53271'], 'GRO59710', 0.413)
(['DAI75645', 'GRO73461'], 'FRO40251', 0.412)
(['DAI88807', 'ELE17451'], 'SNA59903', 0.412)
(['FRO40251', 'FRO92469'], 'SNA80324', 0.411)
(['SNA59903', 'SNA72163'], 'ELE17451', 0.41)
(['DAI42083', 'DAI92600'], 'DAI62779', 0.41)
(['GRO73461', 'SNA80324'], 'DAI75645', 0.409)
(['GRO85051', 'SNA80324'], 'DAI75645', 0.408)
(['FRO40251', 'SNA45677'], 'SNA80324', 0.408)
(['GRO94758', 'SNA45677'], 'DAI62779', 0.406)
(['DAI43223', 'ELE32164'], 'GRO59710', 0.404)
(['DAI43223', 'ELE32164'], 'DAI62779', 0.404)
(['DAI62779', 'GRO81087'], 'ELE17451', 0.404)
(['ELE17451', 'ELE32164'], 'DAI43223', 0.403)
(['DAI62779', 'GRO85051'], 'DAI75645', 0.403)
(['FRO40251', 'SNA55762'], 'SNA80324', 0.403)
(['GRO94758', 'SNA45677'], 'ELE78169', 0.402)
(['DAI55148', 'DAI75645'], 'FRO40251', 0.401)
(['DAI43223', 'GRO59710'], 'DAI62779', 0.4)
(['ELE20847', 'SNA80324'], 'DAI75645', 0.4)
(['FRO40251', 'FRO53271'], 'DAI75645', 0.398)
(['DAI62779', 'DAI88807'], 'SNA72163', 0.398)
(['FRO40251', 'GRO38814'], 'DAI75645', 0.397)
(['DAI62779', 'GRO38814'], 'GRO73461', 0.396)
(['ELE17451', 'ELE32164'], 'GRO59710', 0.395)
(['DAI62779', 'ELE59028'], 'FRO85978', 0.395)
(['DAI62779', 'ELE92920'], 'ELE17451', 0.393)
(['DAI55148', 'ELE17451'], 'FRO40251', 0.393)
(['ELE17451', 'SNA72163'], 'DAI62779', 0.393)
(['DAI55148', 'DAI75645'], 'SNA80324', 0.391)
(['FRO40251', 'SNA80324'], 'DAI75645', 0.39)
(['DAI75645', 'GRO85051'], 'DAI62779', 0.39)
(['SNA59903', 'SNA72163'], 'DAI62779', 0.39)
(['FRO40251', 'GRO38814'], 'GRO85051', 0.39)
(['FRO40251', 'GRO71621'], 'DAI75645', 0.389)
(['FRO40251', 'GRO85051'], 'SNA80324', 0.388)
(['FRO40251', 'SNA45677'], 'DAI75645', 0.388)
(['GRO73461', 'SNA72163'], 'DAI88807', 0.386)
(['ELE17451', 'SNA72163'], 'DAI88807', 0.386)
(['DAI62779', 'FRO40251'], 'DAI75645', 0.385)
(['ELE26917', 'FRO40251'], 'SNA80324', 0.384)
(['DAI62779', 'SNA72163'], 'ELE17451', 0.384)
(['ELE17451', 'GRO59710'], 'DAI43223', 0.382)
(['DAI62779', 'GRO59710'], 'ELE17451', 0.38)
(['DAI62779', 'FRO40251'], 'ELE17451', 0.379)
(['DAI62779', 'GRO94758'], 'ELE17451', 0.376)
(['DAI75645', 'ELE20847'], 'DAI62779', 0.376)
(['DAI75645', 'SNA80324'], 'DAI62779', 0.373)
(['ELE20847', 'SNA80324'], 'DAI62779', 0.373)
(['DAI62779', 'ELE59028'], 'SNA93860', 0.373)
(['DAI62779', 'SNA72163'], 'DAI88807', 0.373)
(['DAI62779', 'DAI75645'], 'ELE17451', 0.372)
(['FRO40251', 'FRO53271'], 'SNA80324', 0.372)
(['DAI75645', 'ELE74009'], 'SNA80324', 0.371)
(['DAI85309', 'SNA45677'], 'ELE99737', 0.371)
(['ELE26917', 'FRO40251'], 'DAI75645', 0.37)
(['DAI62779', 'DAI85309'], 'ELE17451', 0.369)
(['DAI31081', 'FRO40251'], 'SNA80324', 0.368)
